ano	Jan	Fev	Mar	Abr	Mai	Jun	Jul	Ago	Set	Out	Nov	Dez
1972	2.08	1.97	1.87	1.46	2.90	7.13	3.57	4.30	1.61	1.28	1.36	1.30
1973	0.94	0.68	0.97	1.91	23.55	9.73	11.45	2.63	6.06	4.87	2.29	1.94
1974	2.53	2.20	2.61	8.27	21.20	8.07	10.15	8.43	5.41	4.22	4.16	2.44
1975	2.36	2.35	2.30	4.92	8.93	16.47	29.30	11.32	11.83	6.02	4.11	4.03
1976	3.26	5.47	5.48	5.95	9.40	4.85	4.37	3.28	2.81	7.52	3.10	3.18
1977	2.16	3.65	1.95	4.78	14.29	11.20	9.99	7.37	4.56	5.71	3.87	4.76
1978	2.96	3.83	9.86	5.69	14.28	6.54	13.96	12.08	5.61	4.23	3.23	3.85
1979	3.04	2.91	3.18	5.86	5.47	9.27	6.88	4.87	4.93	2.82	4.22	4.64
1980	2.55	9.77	4.76	2.24	2.81	6.18	8.03	4.25	2.57	3.53	3.08	2.23
1981	1.87	1.85	3.58	7.29	4.84	3.85	5.30	4.29	2.64	1.91	2.53	2.34
1982	2.30	2.76	2.11	14.13	5.02	9.21	10.95	7.39	6.07	6.08	2.86	2.15
1983	2.35	2.82	3.18	5.43	3.53	4.25	10.53	5.26	3.28	2.79	2.70	2.13
1984	0.00	1.69	1.94	12.01	6.67	10.03	5.14	4.48	17.24	2.89	2.18	2.10
1985	2.07	2.72	5.68	13.70	11.71	17.93	18.14	14.67	7.73	4.62	4.72	5.69
1986	3.34	3.61	20.33	17.82	36.92	19.66	14.61	14.15	6.85	14.68	5.12	3.55
1987	4.75	4.58	4.46	4.47	6.07	6.15	14.77	5.41	2.53	2.78	6.20	2.69
1988	0.82	0.43	1.80	7.25	13.21	28.90	19.60	8.57	8.52	6.32	4.08	6.55
1989	3.61	3.43	5.07	21.88	59.40	21.15	19.84	19.20	17.15	9.53	5.90	9.80
1990	6.26	4.94	4.47	4.93	4.64	8.49	11.45	10.18	6.49	4.37	4.18	3.91
1991	4.24	3.94	3.96	3.89	12.09	16.17	9.16	6.84	4.84	4.48	4.69	4.27
1992	4.55	6.07	5.20	6.31	3.48	8.03	14.44	7.56	7.08	4.00	4.01	6.06
1993	1.96	3.02	2.69	2.63	3.22	4.28	3.01	4.89	2.25	2.39	1.76	1.45
1994	1.05	1.10	1.05	1.74	5.13	12.29	9.55	3.63	4.47	2.19	1.92	1.74
1995	1.63	1.43	1.76	3.94	3.70	4.57	9.51	4.96	4.30	2.18	3.40	2.00
1996	1.44	1.36	1.39	6.08	5.01	7.42	5.92	8.26	4.59	2.86	4.91	3.30
1997	2.40	3.13	3.48	6.48	27.09	0.00	8.16	6.17	3.63	3.02	2.43	2.23
1998	2.15	2.18	2.29	2.27	3.24	21.51	11.71	6.65	5.59	3.87	2.69	2.43
1999	2.06	2.36	1.90	1.96	14.08	14.31	8.06	13.17	6.38	7.23	9.09	4.85
2000	5.10	6.40	4.41	10.11	6.60	8.76	6.98	9.39	19.02	4.14	3.64	3.09
2001	2.56	2.10	2.63	2.65	2.33	5.89	6.34	5.83	4.44	3.52	2.50	2.38
2002	7.10	6.84	2.61	2.41	6.35	9.07	7.85	5.11	4.29	3.11	2.39	2.27
2003	1.58	1.90	1.98	1.38	4.82	5.32	9.23	6.13	3.59	2.65	3.82	1.72
2004	6.05	4.90	2.79	2.57	2.52	0.00	5.05	11.97	3.24	2.04	1.55	0.98
2005	1.07	1.55	1.24	6.62	5.85	3.77	13.10	9.02	3.29	2.67	1.90	1.73
2006	1.33	1.03	1.11	2.07	6.37	13.71	8.65	6.69	6.70	4.04	3.27	2.04
